time,open,high,low,close,volume,open_interest
2004-08-01 00:00:00+05:30,74.05,76.55,66.45,73.6,455894524,0
2004-09-01 00:00:00+05:30,73.7,79.2,70.35,77.5,304844823,0
2004-10-01 00:00:00+05:30,77.05,85.45,76.95,81.95,283594118,0
2004-11-01 00:00:00+05:30,81.8,86.7,80.5,84.8,234495666,0
2004-12-01 00:00:00+05:30,85.35,90.45,84.25,85.35,230799150,0
2005-01-01 00:00:00+05:30,85.9,87.35,78.95,85.2,228520570,0
2005-02-01 00:00:00+05:30,85.95,89.35,83.15,89.0,258037760,0
2005-03-01 00:00:00+05:30,89.25,105.35,86.25,92.6,373433232,0
2005-04-01 00:00:00+05:30,93.0,98.45,83.85,84.4,198805158,0
2005-05-01 00:00:00+05:30,87.6,97.5,84.95,96.8,181468681,0
2005-06-01 00:00:00+05:30,96.6,109.1,94.35,108.4,234518190,0
2005-07-01 00:00:00+05:30,108.15,108.15,93.15,98.55,274233702,0
2005-08-01 00:00:00+05:30,98.75,107.3,93.2,103.35,227617195,0
2005-09-01 00:00:00+05:30,102.5,116.45,101.6,112.15,189134161,0
2005-10-01 00:00:00+05:30,112.6,114.4,84.25,97.5,249764618,0
2005-11-01 00:00:00+05:30,101.45,114.8,96.45,108.65,161516906,0
2005-12-01 00:00:00+05:30,109.25,129.8,107.05,124.7,226849047,0
2006-01-01 00:00:00+05:30,125.7,138.45,110.9,131.75,194339749,0
2006-02-01 00:00:00+05:30,133.1,133.1,117.6,120.5,211804097,0
2006-03-01 00:00:00+05:30,120.7,144.8,117.7,139.95,177745401,0
2006-04-01 00:00:00+05:30,139.8,149.8,131.45,138.05,438943746,0
2006-05-01 00:00:00+05:30,139.25,162.45,110.95,118.3,360604787,0
2006-06-01 00:00:00+05:30,121.8,122.9,96.45,117.35,341435969,0
2006-07-01 00:00:00+05:30,117.35,127.6,107.65,124.6,256679444,0
2006-08-01 00:00:00+05:30,124.8,133.65,118.9,129.55,167445434,0
2006-09-01 00:00:00+05:30,128.2,131.45,120.05,124.25,165200304,0
2006-10-01 00:00:00+05:30,124.3,130.8,118.7,130.2,193601909,0
2006-11-01 00:00:00+05:30,127.9,143.4,127.4,138.0,208003344,0
2006-12-01 00:00:00+05:30,137.9,142.6,120.15,139.45,170611555,0
2007-01-01 00:00:00+05:30,140.9,150.4,137.6,146.15,175244212,0
2007-02-01 00:00:00+05:30,146.25,148.95,115.35,125.6,125986444,0
2007-03-01 00:00:00+05:30,125.6,141.75,119.45,141.05,146523970,0
2007-04-01 00:00:00+05:30,140.1,159.25,130.75,146.55,130965170,0
2007-05-01 00:00:00+05:30,148.25,151.75,138.9,147.95,126539105,0
2007-06-01 00:00:00+05:30,147.9,152.6,132.05,145.2,120284985,0
2007-07-01 00:00:00+05:30,145.25,154.1,138.9,146.7,125065998,0
2007-08-01 00:00:00+05:30,146.6,146.6,122.25,137.55,128380652,0
2007-09-01 00:00:00+05:30,137.6,158.25,131.3,153.95,133971722,0
2007-10-01 00:00:00+05:30,154.6,205.6,147.6,202.0,271943696,0
