Datetime,open,high,low,close,volume,high_time,low_time
2026-05-04 13:30:00,279.6549987792969,280.6300048828125,274.860107421875,276.25360107421875,11843656,,
2026-05-04 14:30:00,276.2749938964844,278.0,276.07000732421875,276.8349914550781,5095476,,
2026-05-04 15:30:00,276.8500061035156,277.3699951171875,275.45001220703125,276.0899963378906,3294311,,
2026-05-04 16:30:00,276.1000061035156,277.3399963378906,275.9800109863281,277.0400085449219,2386442,,
2026-05-04 17:30:00,277.05999755859375,277.4200134277344,276.6300048828125,276.7699890136719,2422618,,
2026-05-04 18:30:00,276.7699890136719,277.6700134277344,276.260009765625,277.0784912109375,3114535,,
2026-05-04 19:30:00,277.0799865722656,277.32000732421875,276.510009765625,276.8399963378906,4124586,,
2026-05-05 13:30:00,276.8999938964844,281.3800048828125,276.5010070800781,281.19000244140625,9001566,,
2026-05-05 14:30:00,281.17999267578125,283.2099914550781,279.7099914550781,280.2200012207031,6121481,,
2026-05-05 15:30:00,280.2300109863281,281.55999755859375,279.8450012207031,281.3999938964844,3040049,,
2026-05-05 16:30:00,281.3900146484375,284.57000732421875,281.3299865722656,282.81500244140625,5146396,,
2026-05-05 17:30:00,282.80999755859375,284.2799987792969,282.3526916503906,284.2500915527344,3957543,,
2026-05-05 18:30:00,284.2550048828125,284.45001220703125,283.4200134277344,284.2099914550781,3606272,,
2026-05-05 19:30:00,284.2200012207031,284.3299865722656,283.45001220703125,284.1700134277344,4695212,,
2026-05-06 13:30:00,281.9150085449219,286.7200012207031,281.07501220703125,286.1099853515625,11276788,,
2026-05-06 14:30:00,286.1300048828125,286.3399963378906,283.8800048828125,284.739990234375,6691628,,
2026-05-06 15:30:00,284.739990234375,286.3699951171875,284.6499938964844,286.260009765625,4527443,,
2026-05-06 16:30:00,286.2550048828125,287.1300048828125,285.7099914550781,286.7349853515625,3689933,,
2026-05-06 17:30:00,286.7300109863281,287.8500061035156,286.57000732421875,287.17999267578125,3878452,,
2026-05-06 18:30:00,287.1658935546875,287.8999938964844,286.6650085449219,287.760009765625,4158472,,
2026-05-06 19:30:00,287.760009765625,288.0299987792969,287.0400085449219,287.5299987792969,5753679,,
2026-05-07 13:30:00,289.2699890136719,292.1300048828125,288.20001220703125,290.4700012207031,11895992,,
2026-05-07 14:30:00,290.4700012207031,291.3900146484375,289.9200134277344,290.2001037597656,4189077,,
2026-05-07 15:30:00,290.20001220703125,290.739990234375,288.7799987792969,289.4100036621094,3696404,,
2026-05-07 16:30:00,289.42498779296875,289.6549987792969,288.239990234375,288.7650146484375,3128156,,
2026-05-07 17:30:00,288.7449951171875,289.7699890136719,287.8999938964844,288.2699890136719,3005520,,
2026-05-07 18:30:00,288.2799987792969,288.3399963378906,285.7799987792969,286.739990234375,4941011,,
2026-05-07 19:30:00,286.7349853515625,287.55999755859375,286.2799987792969,287.4700012207031,3254466,,
2026-05-08 13:30:00,290.1099853515625,294.55499267578125,290.0,293.7850036621094,11356891,,
2026-05-08 14:30:00,293.7699890136719,294.760009765625,292.4200134277344,292.8500061035156,7279310,,
2026-05-08 15:30:00,292.8500061035156,293.0400085449219,292.18011474609375,292.79998779296875,3193255,,
2026-05-08 16:30:00,292.79998779296875,292.79998779296875,291.7500915527344,292.1499938964844,4004012,,
2026-05-08 17:30:00,292.1400146484375,292.8599853515625,292.07000732421875,292.7229919433594,2447225,,
2026-05-08 18:30:00,292.7651062011719,293.6000061035156,292.3900146484375,293.42999267578125,3970671,,
2026-05-08 19:30:00,293.45001220703125,294.25,293.1000061035156,293.2799987792969,6088657,,
2026-05-11 13:30:00,291.97900390625,293.1499938964844,290.2300109863281,292.0450134277344,9227947,,
2026-05-11 14:30:00,292.0450134277344,293.5899963378906,291.75,293.3699035644531,4290117,,
2026-05-11 15:30:00,293.3699951171875,293.8800048828125,291.8214111328125,292.4150085449219,3777650,,
2026-05-11 16:30:00,292.4150085449219,292.7049865722656,290.6300048828125,291.94000244140625,3556324,,
2026-05-11 17:30:00,291.9399108886719,292.9800109863281,291.7250061035156,291.739990234375,2587000,,
2026-05-11 18:30:00,291.739990234375,292.20989990234375,290.8599853515625,292.1499938964844,2874040,,
2026-05-11 19:30:00,292.1459045410156,292.79998779296875,291.80999755859375,292.739990234375,3307424,,
2026-05-12 13:30:00,292.7550048828125,294.80999755859375,292.614990234375,293.9399108886719,11112742,,
2026-05-12 14:30:00,293.9100036621094,294.89990234375,293.25,294.3699951171875,4316772,,
2026-05-12 15:30:00,294.3599853515625,294.7799987792969,293.4599914550781,293.9599914550781,2815308,,
2026-05-12 16:30:00,293.95001220703125,294.5899963378906,293.3800048828125,293.8999938964844,3097799,,
2026-05-12 17:30:00,293.8999938964844,294.6600036621094,293.69000244140625,294.6499938964844,3363937,,
2026-05-12 18:30:00,294.6199951171875,294.9200134277344,294.0,294.8006896972656,3451447,,
2026-05-12 19:30:00,294.79998779296875,295.2699890136719,294.3599853515625,294.8699951171875,4049102,,
2026-05-13 13:30:00,293.6300048828125,297.5097961425781,293.55999755859375,295.1499938964844,10759628,,
2026-05-13 14:30:00,295.1700134277344,297.25,295.1600036621094,296.94000244140625,4349742,,
2026-05-13 15:30:00,296.93499755859375,298.54998779296875,296.7207946777344,298.40008544921875,4139107,,
2026-05-13 16:30:00,298.3900146484375,300.3699951171875,298.33099365234375,300.125,6943795,,
2026-05-13 17:30:00,300.1099853515625,300.9200134277344,299.7099914550781,299.7149963378906,4870507,,
2026-05-13 18:30:00,299.7099914550781,299.7200012207031,298.614990234375,299.1499938964844,3364858,,
2026-05-13 19:30:00,299.1499938964844,299.4800109863281,298.8500061035156,298.8800048828125,3870507,,
2026-05-14 13:30:00,299.82000732421875,300.3500061035156,297.0799865722656,297.93499755859375,7145581,,
2026-05-14 14:30:00,297.95001220703125,299.4700012207031,297.5799865722656,299.06500244140625,3728318,,
2026-05-14 15:30:00,299.07000732421875,299.3599853515625,298.2799987792969,298.3099060058594,3199871,,
2026-05-14 16:30:00,298.30999755859375,298.51251220703125,295.3800048828125,298.3800048828125,4489806,,
2026-05-14 17:30:00,298.40899658203125,298.6299133300781,297.54998779296875,298.3699951171875,2323271,,
2026-05-14 18:30:00,298.364990234375,299.20001220703125,298.2229919433594,299.07501220703125,2930714,,
2026-05-14 19:30:00,299.0799865722656,299.0799865722656,297.8800048828125,298.1650085449219,3098706,,
2026-05-15 13:30:00,297.7550048828125,299.8500061035156,296.5299987792969,299.2900085449219,10451647,,
2026-05-15 14:30:00,299.2699890136719,302.7900085449219,299.239990234375,301.9695129394531,8526677,,
2026-05-15 15:30:00,301.989990234375,302.6000061035156,300.6400146484375,301.80999755859375,4948995,,
2026-05-15 16:30:00,301.7900085449219,303.20001220703125,301.4849853515625,303.1199951171875,4106965,,
2026-05-15 17:30:00,303.1000061035156,303.1400146484375,301.1180114746094,301.2650146484375,4178682,,
2026-05-15 18:30:00,301.2799987792969,301.760009765625,299.8800048828125,300.2633972167969,4233250,,
2026-05-15 19:30:00,300.2799987792969,300.6600036621094,299.6300048828125,300.2200012207031,4618896,,
2026-05-18 13:30:00,300.239990234375,300.6300048828125,296.70001220703125,298.1650085449219,7655183,,
2026-05-18 14:30:00,298.1400146484375,298.5799865722656,295.4800109863281,295.4800109863281,3859797,,
2026-05-18 15:30:00,295.5199890136719,296.80999755859375,295.0199890136719,295.25,2469524,,
2026-05-18 16:30:00,295.2699890136719,296.67999267578125,294.9100036621094,296.1702880859375,3252874,,
2026-05-18 17:30:00,296.18499755859375,296.68499755859375,295.5199890136719,296.0799865722656,3619911,,
2026-05-18 18:30:00,296.14990234375,297.7300109863281,295.45001220703125,297.0773010253906,3607433,,
2026-05-18 19:30:00,297.0899963378906,297.9200134277344,296.9049987792969,297.8999938964844,2992205,,
2026-05-19 13:30:00,296.9700012207031,300.510009765625,296.3500061035156,296.9100036621094,9798484,,
2026-05-19 14:30:00,296.92999267578125,297.75,296.5199890136719,297.07000732421875,3231900,,
2026-05-19 15:30:00,297.05999755859375,297.5799865722656,296.364990234375,297.42498779296875,3248136,,
2026-05-19 16:30:00,297.4100036621094,298.7300109863281,297.3599853515625,298.24951171875,2831155,,
2026-05-19 17:30:00,298.25,298.4869079589844,297.8399963378906,297.8900146484375,1931011,,
2026-05-19 18:30:00,297.8699951171875,298.44000244140625,297.489990234375,298.3800048828125,2365400,,
2026-05-19 19:30:00,298.3900146484375,299.2200012207031,297.8399963378906,298.9800109863281,3821190,,
2026-05-20 13:30:00,298.17999267578125,302.3699951171875,298.0899963378906,299.5199890136719,7471000,,
2026-05-20 14:30:00,299.510009765625,300.510009765625,299.07000732421875,299.1600036621094,3782669,,
2026-05-20 15:30:00,299.1600036621094,300.32000732421875,298.6700134277344,300.0050048828125,2831757,,
2026-05-20 16:30:00,299.989990234375,301.2699890136719,299.57000732421875,301.04998779296875,2841773,,
2026-05-20 17:30:00,301.05999755859375,301.7200012207031,300.9100036621094,301.4700012207031,3006343,,
2026-05-20 18:30:00,301.4700012207031,302.79998779296875,301.4700012207031,302.19000244140625,4224441,,
2026-05-20 19:30:00,302.20001220703125,302.5199890136719,301.8575134277344,302.2650146484375,3803278,,
2026-05-21 13:30:00,301.04998779296875,303.07000732421875,300.3999938964844,301.9508972167969,6886720,,
2026-05-21 14:30:00,301.92999267578125,303.3599853515625,301.5801086425781,303.0249938964844,3181261,,
2026-05-21 15:30:00,303.0249938964844,304.2442932128906,302.9100036621094,303.6369934082031,3064971,,
2026-05-21 16:30:00,303.6199951171875,304.67999267578125,303.0498962402344,304.59100341796875,3041858,,
2026-05-21 17:30:00,304.6099853515625,305.1000061035156,304.3599853515625,304.6199951171875,3185835,,
2026-05-21 18:30:00,304.6199951171875,305.32501220703125,303.8900146484375,305.226806640625,3338522,,
2026-05-21 19:30:00,305.2200012207031,305.53900146484375,304.510009765625,305.0899963378906,4457107,,
2026-05-22 13:30:00,306.05999755859375,309.2699890136719,305.8500061035156,308.6400146484375,9515427,,
2026-05-22 14:30:00,308.635009765625,311.3999938964844,308.6199951171875,311.0050048828125,7739013,,
2026-05-22 15:30:00,311.0,311.0400085449219,309.7200012207031,309.9200134277344,4700296,,
2026-05-22 16:30:00,309.92999267578125,309.989990234375,308.82000732421875,309.860107421875,3550329,,
2026-05-22 17:30:00,309.8699951171875,310.1549987792969,308.95001220703125,309.30999755859375,2598845,,
2026-05-22 18:30:00,309.31500244140625,309.5799865722656,308.6400146484375,308.70001220703125,2681340,,
2026-05-22 19:30:00,308.70001220703125,309.3999938964844,307.9700012207031,308.8800048828125,4183601,,
2026-05-26 13:30:00,309.3999938964844,311.82000732421875,309.3500061035156,311.7200012207031,9245876,,
2026-05-26 14:30:00,311.7300109863281,311.80999755859375,310.8599853515625,311.3599853515625,3935923,,
2026-05-26 15:30:00,311.3800048828125,311.57000732421875,309.7699890136719,310.4704895019531,3714586,,
2026-05-26 16:30:00,310.4849853515625,310.7699890136719,309.0299987792969,309.18499755859375,5208906,,
2026-05-26 17:30:00,309.19000244140625,310.20001220703125,309.1099853515625,309.8299865722656,2909764,,
2026-05-26 18:30:00,309.8399963378906,310.05999755859375,308.0799865722656,308.3799133300781,3079448,,
2026-05-26 19:30:00,308.360107421875,308.9599914550781,307.6700134277344,308.3800048828125,4315325,,
2026-05-27 13:30:00,308.44000244140625,312.7699890136719,308.3299865722656,311.260009765625,9481867,,
2026-05-27 14:30:00,311.260009765625,313.260009765625,311.19000244140625,311.7749938964844,11989445,,
2026-05-27 15:30:00,311.7900085449219,312.1400146484375,310.7001037597656,311.2349853515625,4954830,,
2026-05-27 16:30:00,311.2349853515625,311.4849853515625,310.3800048828125,310.4700012207031,3377025,,
2026-05-27 17:30:00,310.4700012207031,311.0,310.30999755859375,310.8299865722656,2683160,,
2026-05-27 18:30:00,310.8232116699219,310.8800048828125,309.7699890136719,309.82000732421875,2810007,,
2026-05-27 19:30:00,309.82000732421875,311.1000061035156,309.5199890136719,310.92999267578125,4216251,,
2026-05-28 13:30:00,310.67999267578125,312.760009765625,309.6000061035156,311.70001220703125,7569372,,
2026-05-28 14:30:00,311.70001220703125,311.9700012207031,311.04998779296875,311.82501220703125,3612059,,
2026-05-28 15:30:00,311.82501220703125,311.94500732421875,310.3074951171875,310.44000244140625,3704416,,
2026-05-28 16:30:00,310.44500732421875,311.6199951171875,309.57000732421875,310.79998779296875,3879761,,
2026-05-28 17:30:00,310.81500244140625,311.0199890136719,310.1099853515625,310.8399963378906,3474234,,
2026-05-28 18:30:00,310.7900085449219,311.3550109863281,310.25,311.31500244140625,4929905,,
2026-05-28 19:30:00,311.31500244140625,312.55999755859375,310.9700012207031,312.5,4816549,,
2026-05-29 13:30:00,311.7749938964844,315.0,311.5,313.67498779296875,8454465,,
2026-05-29 14:30:00,313.6600036621094,314.05999755859375,310.4200134277344,311.79998779296875,5826258,,
2026-05-29 15:30:00,311.8299865722656,312.0199890136719,310.45001220703125,311.1900939941406,2789979,,
2026-05-29 16:30:00,311.20001220703125,311.69000244140625,310.20001220703125,310.4200134277344,3360906,,
2026-05-29 17:30:00,310.4200134277344,310.55999755859375,309.5299987792969,310.260009765625,3479522,,
2026-05-29 18:30:00,310.260009765625,311.6300048828125,310.2099914550781,311.44500732421875,4045756,,
2026-05-29 19:30:00,311.45001220703125,313.1099853515625,311.3599853515625,312.07000732421875,5323698,,
2026-06-01 13:30:00,309.5350036621094,310.92999267578125,307.79998779296875,307.8399963378906,10175199,,
2026-06-01 14:30:00,307.80999755859375,308.4700012207031,306.29998779296875,306.5751037597656,5691006,,
2026-06-01 15:30:00,306.55999755859375,307.260009765625,305.489990234375,305.7200012207031,4171810,,
2026-06-01 16:30:00,305.739990234375,306.5299987792969,305.0299987792969,306.4700012207031,3705835,,
2026-06-01 17:30:00,306.5199890136719,308.3999938964844,306.30999755859375,307.8699951171875,3768496,,
2026-06-01 18:30:00,307.864990234375,308.32501220703125,307.3299865722656,307.42999267578125,3948458,,
2026-06-01 19:30:00,307.43499755859375,308.0400085449219,305.909912109375,306.32000732421875,5261936,,
2026-06-02 13:30:00,307.4599914550781,310.4700012207031,306.7200012207031,310.3399963378906,7411659,,
2026-06-02 14:30:00,310.375,312.92999267578125,309.260009765625,312.7099914550781,4895435,,
2026-06-02 15:30:00,312.70001220703125,313.1499938964844,312.0400085449219,312.489990234375,3617660,,
2026-06-02 16:30:00,312.4800109863281,315.1000061035156,311.8999938964844,314.67999267578125,5289704,,
2026-06-02 17:30:00,314.67999267578125,315.45001220703125,313.7550048828125,314.239990234375,3783245,,
2026-06-02 18:30:00,314.2598876953125,315.2200012207031,314.19000244140625,314.7650146484375,3482397,,
2026-06-02 19:30:00,314.760009765625,315.44000244140625,314.0299987792969,315.19000244140625,4596467,,
2026-06-03 13:30:00,314.17498779296875,316.94000244140625,314.0,314.3500061035156,9396189,,
2026-06-03 14:30:00,314.3699951171875,314.6499938964844,310.30999755859375,311.6600036621094,6549146,,
2026-06-03 15:30:00,311.6400146484375,312.19000244140625,309.510009765625,309.7601013183594,6552624,,
2026-06-03 16:30:00,309.760009765625,310.4649963378906,308.8500061035156,309.2099914550781,3649007,,
2026-06-03 17:30:00,309.19500732421875,309.9800109863281,308.9800109863281,309.8399963378906,2467933,,
2026-06-03 18:30:00,309.8399963378906,309.94000244140625,309.2699890136719,309.3450927734375,297756,,
2026-06-03 18:37:31,309.44500732421875,309.44500732421875,309.44500732421875,309.44500732421875,0,,
