Datetime,open,high,low,close,volume,high_time,low_time
2026-05-28 13:30:00,211.27499389648438,214.2899932861328,211.2220001220703,212.4512939453125,34321042,,
2026-05-28 14:30:00,212.47000122070312,213.14999389648438,211.50999450683594,212.6699981689453,15883778,,
2026-05-28 15:30:00,212.67999267578125,213.32000732421875,212.10000610351562,212.9949951171875,12354616,,
2026-05-28 16:30:00,212.99749755859375,213.97500610351562,212.4499969482422,213.22999572753906,11604811,,
2026-05-28 17:30:00,213.24600219726562,215.51910400390625,212.92999267578125,214.3800048828125,16226317,,
2026-05-28 18:30:00,214.36459350585938,214.8968963623047,213.86000061035156,214.10000610351562,11783954,,
2026-05-28 19:30:00,214.1199951171875,214.49000549316406,213.77000427246094,214.3000030517578,7963820,,
2026-05-29 13:30:00,214.4499969482422,217.35000610351562,212.80999755859375,215.9199981689453,40543469,,
2026-05-29 14:30:00,215.9149932861328,217.02000427246094,214.36000061035156,215.38999938964844,19932251,,
2026-05-29 15:30:00,215.4199981689453,217.1199951171875,214.77000427246094,215.98989868164062,11951156,,
2026-05-29 16:30:00,215.99000549316406,217.52000427246094,215.78990173339844,216.27999877929688,11200176,,
2026-05-29 17:30:00,216.2899932861328,217.0500030517578,215.2899932861328,216.97000122070312,11436702,,
2026-05-29 18:30:00,217.0,217.85989379882812,216.45030212402344,216.99000549316406,15770699,,
2026-05-29 19:30:00,216.9949951171875,217.4499969482422,211.1300048828125,211.14999389648438,37566793,,
2026-06-01 13:30:00,215.77999877929688,222.1699981689453,215.7050018310547,221.3699951171875,69982504,,
2026-06-01 14:30:00,221.33999633789062,222.08999633789062,218.99000549316406,219.39999389648438,24378990,,
2026-06-01 15:30:00,219.38999938964844,222.3699951171875,219.3300018310547,221.9499969482422,17133641,,
2026-06-01 16:30:00,221.94000244140625,222.39999389648438,220.97000122070312,221.9600067138672,15498968,,
2026-06-01 17:30:00,221.9600067138672,224.66000366210938,221.52999877929688,224.61599731445312,20858418,,
2026-06-01 18:30:00,224.61000061035156,224.8699951171875,223.6699981689453,224.0,17259685,,
2026-06-01 19:30:00,223.98069763183594,224.43499755859375,222.39999389648438,224.4199981689453,14416592,,
2026-06-02 13:30:00,227.19000244140625,232.27999877929688,225.0500030517578,228.5299072265625,63909850,,
2026-06-02 14:30:00,228.50999450683594,228.9499969482422,225.35009765625,225.93899536132812,25956281,,
2026-06-02 15:30:00,225.9499053955078,226.86500549316406,224.14999389648438,224.85000610351562,18776428,,
2026-06-02 16:30:00,224.8300018310547,225.6300048828125,223.86000061035156,224.16009521484375,14668900,,
2026-06-02 17:30:00,224.1616973876953,224.2100067138672,222.55999755859375,222.97999572753906,15089002,,
2026-06-02 18:30:00,222.97000122070312,223.46600341796875,221.89999389648438,222.6300048828125,13667953,,
2026-06-02 19:30:00,222.6199951171875,222.9499969482422,221.35000610351562,222.82000732421875,12789493,,
2026-06-03 13:30:00,221.68499755859375,222.82000732421875,215.38999938964844,216.1699981689453,51590417,,
2026-06-03 14:30:00,216.1699981689453,216.77499389648438,214.5800018310547,216.27999877929688,21547548,,
2026-06-03 15:30:00,216.27000427246094,217.5500030517578,215.47000122070312,215.63999938964844,14790315,,
2026-06-03 16:30:00,215.6300048828125,216.10000610351562,214.82000732421875,215.76499938964844,11832778,,
2026-06-03 17:30:00,215.77499389648438,215.93800354003906,215.22999572753906,215.56500244140625,6565157,,
2026-06-03 18:19:35,215.72500610351562,215.72500610351562,215.72500610351562,215.72500610351562,0,,
