Datetime,open,high,low,close,volume,dividends,stock_splits,high_time,low_time
2026-05-22 09:30:00-04:00,306.05999755859375,309.2699890136719,305.8500061035156,308.6400146484375,9515427,0.0,0.0,,
2026-05-22 10:30:00-04:00,308.635009765625,311.3999938964844,308.6199951171875,311.0050048828125,7739013,0.0,0.0,,
2026-05-22 11:30:00-04:00,311.0,311.0400085449219,309.7200012207031,309.9200134277344,4700296,0.0,0.0,,
2026-05-22 12:30:00-04:00,309.92999267578125,309.989990234375,308.82000732421875,309.860107421875,3550329,0.0,0.0,,
2026-05-22 13:30:00-04:00,309.8699951171875,310.1549987792969,308.95001220703125,309.30999755859375,2598845,0.0,0.0,,
2026-05-22 14:30:00-04:00,309.31500244140625,309.5799865722656,308.6400146484375,308.70001220703125,2681340,0.0,0.0,,
2026-05-22 15:30:00-04:00,308.70001220703125,309.3999938964844,307.9700012207031,308.8800048828125,4183601,0.0,0.0,,
2026-05-26 09:30:00-04:00,309.3999938964844,311.82000732421875,309.3500061035156,311.7200012207031,9245876,0.0,0.0,,
2026-05-26 10:30:00-04:00,311.7300109863281,311.80999755859375,310.8599853515625,311.3599853515625,3935923,0.0,0.0,,
2026-05-26 11:30:00-04:00,311.3800048828125,311.57000732421875,309.7699890136719,310.4704895019531,3714586,0.0,0.0,,
2026-05-26 12:30:00-04:00,310.4849853515625,310.7699890136719,309.0299987792969,309.18499755859375,5208906,0.0,0.0,,
2026-05-26 13:30:00-04:00,309.19000244140625,310.20001220703125,309.1099853515625,309.8299865722656,2909764,0.0,0.0,,
2026-05-26 14:30:00-04:00,309.8399963378906,310.05999755859375,308.0799865722656,308.3799133300781,3079448,0.0,0.0,,
2026-05-26 15:30:00-04:00,308.360107421875,308.9599914550781,307.6700134277344,308.3800048828125,4315325,0.0,0.0,,
2026-05-27 09:30:00-04:00,308.44000244140625,312.7699890136719,308.3299865722656,311.260009765625,9481867,0.0,0.0,,
2026-05-27 10:30:00-04:00,311.260009765625,313.260009765625,311.19000244140625,311.7749938964844,11989445,0.0,0.0,,
2026-05-27 11:30:00-04:00,311.7900085449219,312.1400146484375,310.7001037597656,311.2349853515625,4954830,0.0,0.0,,
2026-05-27 12:30:00-04:00,311.2349853515625,311.4849853515625,310.3800048828125,310.4700012207031,3377025,0.0,0.0,,
2026-05-27 13:30:00-04:00,310.4700012207031,311.0,310.30999755859375,310.8299865722656,2683160,0.0,0.0,,
2026-05-27 14:30:00-04:00,310.8232116699219,310.8800048828125,309.7699890136719,309.82000732421875,2810007,0.0,0.0,,
2026-05-27 15:30:00-04:00,309.82000732421875,311.1000061035156,309.5199890136719,310.92999267578125,4216251,0.0,0.0,,
2026-05-28 09:30:00-04:00,310.67999267578125,312.760009765625,309.6000061035156,311.70001220703125,7569372,0.0,0.0,,
2026-05-28 10:30:00-04:00,311.70001220703125,311.9700012207031,311.04998779296875,311.82501220703125,3612059,0.0,0.0,,
2026-05-28 11:30:00-04:00,311.82501220703125,311.94500732421875,310.3074951171875,310.44000244140625,3704416,0.0,0.0,,
2026-05-28 12:30:00-04:00,310.44500732421875,311.6199951171875,309.57000732421875,310.79998779296875,3879761,0.0,0.0,,
2026-05-28 13:30:00-04:00,310.81500244140625,311.0199890136719,310.1099853515625,310.8399963378906,3474234,0.0,0.0,,
2026-05-28 14:30:00-04:00,310.7900085449219,311.3550109863281,310.25,311.31500244140625,4929905,0.0,0.0,,
2026-05-28 15:30:00-04:00,311.31500244140625,312.55999755859375,310.9700012207031,312.5,4816549,0.0,0.0,,
2026-05-29 09:30:00-04:00,311.7749938964844,315.0,311.5,313.67498779296875,8454465,0.0,0.0,,
2026-05-29 10:30:00-04:00,313.6600036621094,314.05999755859375,310.4200134277344,311.79998779296875,5826258,0.0,0.0,,
2026-05-29 11:30:00-04:00,311.8299865722656,312.0199890136719,310.45001220703125,311.1900939941406,2789979,0.0,0.0,,
2026-05-29 12:30:00-04:00,311.20001220703125,311.69000244140625,310.20001220703125,310.4200134277344,3360906,0.0,0.0,,
2026-05-29 13:30:00-04:00,310.4200134277344,310.55999755859375,309.5299987792969,310.260009765625,3479522,0.0,0.0,,
2026-05-29 14:30:00-04:00,310.260009765625,311.6300048828125,310.2099914550781,311.44500732421875,4045756,0.0,0.0,,
2026-05-29 15:30:00-04:00,311.45001220703125,313.1099853515625,311.3599853515625,312.07000732421875,5323698,0.0,0.0,,
